symbol,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
SHFE.cu2105C38000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,1,nan,18528.0,10141.0,1,14335.0,14335.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C38500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,18048.0,9661.0,0,13855.0,13855.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C39000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,17572.0,9185.0,0,13379.0,13379.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C39500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,17099.0,8712.0,0,12906.0,12906.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C40000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,16630.0,8243.0,0,12437.0,12437.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C41000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,15705.0,7318.0,0,11512.0,11512.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C42000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,14801.0,6414.0,0,10608.0,10608.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C43000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,1,nan,13922.0,5535.0,1,9729.0,9729.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C44000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,1,nan,13074.0,4687.0,1,8881.0,8881.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C45000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,1,nan,12258.0,3871.0,1,8065.0,8065.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C46000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,2,nan,11480.0,3093.0,2,7287.0,7287.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C47000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,2,nan,10743.0,2356.0,2,6550.0,6550.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C48000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,2,nan,10049.0,1662.0,2,5856.0,5856.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C49000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,2,nan,9401.0,1014.0,2,5208.0,5208.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105C50000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,22,nan,8799.0,412.0,22,4606.0,4606.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P36000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,64,nan,4216.0,1.0,64,23.0,51.0,115.0,4,53.0,1,310.0,1,51.0,2,3333.0,6,50.0,5,nan,0,31.0,1,nan,0,10.0,20
SHFE.cu2105P36500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,14,nan,4223.0,1.0,14,30.0,79.0,310.0,1,50.0,2,nan,0,31.0,1,nan,0,10.0,10,nan,0,2.0,10,nan,0,1.0,3
SHFE.cu2105P37000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,17,nan,4232.0,1.0,17,39.0,39.0,nan,0,50.0,2,nan,0,10.0,10,nan,0,2.0,10,nan,0,1.0,3,nan,0,nan,0
SHFE.cu2105P37500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,16,nan,4243.0,1.0,16,50.0,50.0,nan,0,50.0,2,nan,0,10.0,10,nan,0,2.0,10,nan,0,1.0,3,nan,0,nan,0
SHFE.cu2105P38000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,12,nan,4255.0,1.0,12,62.0,62.0,nan,0,50.0,2,nan,0,10.0,10,nan,0,2.0,10,nan,0,1.0,3,nan,0,nan,0
SHFE.cu2105P38500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,10,nan,4271.0,1.0,10,78.0,78.0,nan,0,2.0,5,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P39000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,7,nan,4289.0,1.0,7,96.0,96.0,nan,0,120.0,2,nan,0,2.0,5,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P39500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,11,nan,4311.0,1.0,11,118.0,151.0,nan,0,2.0,5,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P40000,2020-08-21 14:59:59.999501,177.0,177.0,2.0,2.0,177.0,89.5,2,895.0,13,99.0,4337.0,1.0,13,144.0,170.0,nan,0,33.0,2,nan,0,2.0,10,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P41000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,13,nan,4401.0,1.0,13,208.0,218.0,nan,0,2.0,10,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P42000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,9,nan,4487.0,1.0,9,294.0,287.0,nan,0,2.0,5,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P43000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,8,nan,4599.0,1.0,8,406.0,364.0,nan,0,3.0,1,nan,0,2.0,5,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P44000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,8,nan,4740.0,1.0,8,547.0,547.0,nan,0,3.0,1,nan,0,2.0,5,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P45000,2020-08-21 14:59:59.999501,624.0,624.0,617.0,617.0,624.0,613.0,3,9195.0,8,598.0,4914.0,1.0,8,721.0,618.0,nan,0,3.0,1,nan,0,2.0,5,nan,0,1.0,2,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P46000,2020-08-21 14:59:59.999501,776.0,776.0,776.0,776.0,776.0,776.0,1,3880.0,7,794.0,5126.0,1.0,7,933.0,825.0,nan,0,333.0,1,nan,0,2.0,5,nan,0,1.0,3,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P47000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,4,nan,5378.0,1.0,4,1185.0,1051.0,nan,0,3.0,1,nan,0,2.0,5,nan,0,1.0,2,nan,0,nan,0,nan,0,nan,0
SHFE.cu2105P48000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,4,nan,5674.0,1.0,4,1481.0,1481.0,nan,0,3.0,1,nan,0,2.0,5,nan,0,1.0,2,nan,0,nan,0,nan,0,nan,0
